id,video,label
322,https://www.instagram.com/reel/Cjc9mzVDnK1/?igsh=cmhqb2Fhc3gyamdm,Surprise
323,https://www.instagram.com/reel/DEWsCChyN_T/?igsh=MXNscmNnbWdwenVpeQ==,Surprise
357,https://www.instagram.com/reel/DMh5-IjhyIw/,Proud
358,https://www.instagram.com/otomotif_tv/reel/DMbkMM7zuNt/,Surprise
359,https://www.instagram.com/otomotif_tv/reel/DL86TnGJCJ2/,Proud
360,https://www.instagram.com/otomotif_tv/reel/DL39mEOR7ll/,Surprise
361,https://www.instagram.com/otomotif_tv/reel/DKOd9H9hnLI/,Surprise
362,https://www.instagram.com/otomotif_tv/reel/DHqYoypJhJm/,Surprise
363,https://www.instagram.com/otomotif_tv/reel/DJLpZPuxSZY/,Surprise
364,https://www.instagram.com/otomotif_tv/reel/DJK3Q_IzBmV/,Surprise
365,https://www.instagram.com/otomotif_tv/reel/DHanJvYJ5-D/,Proud
366,https://www.instagram.com/otomotif_tv/reel/DGmwCehPHVX/,Surprise
367,https://www.instagram.com/otomotif_tv/reel/DGQqs6uSQZ2/,Surprise
368,https://www.instagram.com/otomotif_tv/reel/DGVdOe8zMbx/,Surprise
369,https://www.instagram.com/buburayamracer/reel/DMb2iVHTUma/,Joy
370,https://www.instagram.com/buburayamracer/reel/DMP06ghP33R/,Surprise
371,https://www.instagram.com/otomotifweekly/reel/DMPbuoeRItb/,Surprise
372,https://www.instagram.com/otomotifweekly/reel/DMG8GSMycm6/,Trust
373,https://www.instagram.com/otomotifweekly/reel/DLlwAYFhEDG/,Surprise
374,https://www.instagram.com/autonetmagz/reel/DMjOYJrzCQp/,Trust
375,https://www.instagram.com/autonetmagz/reel/DMDxiDsyM8k/,Surprise
376,https://www.instagram.com/autonetmagz/reel/DLXVnweSFFf/,Surprise
377,https://www.instagram.com/jagat.review/reel/DM_-hwyRkLr/,Trust
378,https://www.instagram.com/jagat.review/reel/DMfN-ehv59F/,Surprise
380,https://www.instagram.com/jagat.review/reel/DLRy8VqRyRC/,Surprise
381,https://www.instagram.com/jagat.review/reel/DLJWgskSTkD/,Surprise
382,https://www.instagram.com/jagat.review/reel/DLG08iOSqJu/,Trust
383,https://www.instagram.com/jagat.review/reel/DK_GTyvSUiS/,Proud
384,https://www.instagram.com/jagat.review/reel/DK9Qx0nRX1M/,Surprise
385,https://www.instagram.com/jagat.review/reel/DK1hPESxtmt/,Surprise
386,https://www.instagram.com/jagat.review/reel/DKqiyEhyXzF/,Proud
387,https://www.instagram.com/jagat.review/reel/DKD7zPWot9i/,Surprise
388,https://www.instagram.com/jagat.review/reel/DJ1JEKvx6vX/,Surprise
389,https://drive.google.com/file/d/1-n-P6UQqIBYoTzxtEze3qKSj8A8hYlr7/view?usp=sharing,Surprise
409,https://drive.google.com/file/d/1bh-6oY-dAOw08yVXIc-416tDFEeisPFR/view?usp=sharing,Surprise
410,https://drive.google.com/file/d/1clMd4lL0Odism-RJzRkkGlbpnsNxVnUt/view?usp=sharing,Surprise
430,https://www.instagram.com/reel/DIYnoCfT-bt/,Anger
458,https://www.instagram.com/reel/DMkSLX6Ruas/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Neutral
459,https://www.instagram.com/reel/DLZlNnoRLn1/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Proud
460,https://www.instagram.com/reel/DLUesJ4RTin/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Trust
461,https://www.instagram.com/reel/DKO6Tn7Rigx/?utm_source=ig_web_copy_link,Surprise
462,https://www.instagram.com/reel/DIQvqyBR1r-/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Fear
463,https://www.instagram.com/reel/DILkjVTRceX/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Proud
464,https://www.instagram.com/reel/DHdOWYPRngR/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Proud
465,https://www.instagram.com/reel/DFmyGRDyxoN/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Trust
466,https://www.instagram.com/reel/DFFR1ZMyEnh/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Surprise
467,https://www.instagram.com/reel/DEHjCwLyXiO/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Proud
468,https://www.instagram.com/reel/DDjf9gkyFlQ/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Surprise
469,https://www.instagram.com/reel/DDMT07Zy3Yu/?utm_source=ig_web_copy_link,Trust
470,https://www.instagram.com/reel/DCtamoISITr/?utm_source=ig_web_copy_link,Proud
471,https://www.instagram.com/reel/DBqeh0PSvPN/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Trust
472,https://www.instagram.com/reel/DM9-XYoxiJd/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Proud
473,https://www.instagram.com/reel/DM2TLDOR492/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Trust
474,https://www.instagram.com/reel/DMZ5amBx0TN/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Proud
475,https://www.instagram.com/reel/DMPoIjSxhL2/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Surprise
476,https://www.instagram.com/reel/DLR4f13REQE/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Trust
477,https://www.instagram.com/reel/DKwYXChxNDD/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Trust
478,https://www.instagram.com/reel/DKmVdRnzRnT/?utm_source=ig_web_copy_link,Surprise
479,https://www.instagram.com/reel/DKJwRyOxSD-/?utm_source=ig_web_copy_link,Proud
480,https://www.instagram.com/reel/DKRh02wxJkq/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Trust
481,https://www.instagram.com/reel/DJbVDSOx9Nk/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Anger
482,https://www.instagram.com/reel/DJgfuikRLwi/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Proud
483,https://www.instagram.com/reel/DJoU1SfxMXf/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Trust
484,https://www.instagram.com/reel/DJOn8XiTwyN/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Surprise
485,https://www.instagram.com/reel/DJJYlBxT21r/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Trust
486,https://www.instagram.com/reel/DJGz0HoRzAM/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Trust
487,https://www.instagram.com/reel/DI0vYVERmjI/?utm_source=ig_web_copy_link,Trust
488,https://www.instagram.com/reel/DIlVg8KRPlj/?utm_source=ig_web_copy_link,Proud
489,https://www.instagram.com/reel/DIV-dAmz2Ny/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Trust
490,https://www.instagram.com/reel/DGsQu9JRm79/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Surprise
491,"https://www.instagram.com/reel/DNI1jwNyrfX/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA== 										
",Surprise
492,https://www.instagram.com/reel/DNI1jwNyrfX/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Proud
493,https://www.instagram.com/reel/DM2lwEDSjVI/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Surprise
494,https://www.instagram.com/reel/DMnfSLEv_q7/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Proud
495,https://www.instagram.com/reel/DMkjkegTXs5/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Proud
496,https://www.instagram.com/reel/DMh3m5rvW3x/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Surprise
497,https://www.instagram.com/reel/DL6Zr4QSkUM/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Proud
498,https://www.instagram.com/reel/DL9jmalyY0P/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Surprise
499,https://www.instagram.com/reel/DMphHxmv5_Z/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Proud
500,https://www.instagram.com/reel/DMC4ItYSMeU/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Joy
501,https://www.instagram.com/reel/DMAEL2oS-kx/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Joy
502,https://www.instagram.com/reel/DL2ZmPxSsBF/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Trust
503,https://www.instagram.com/reel/DEzgcQJy-yy/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Trust
504,https://www.instagram.com/reel/DMzjk18xmcY/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Trust
505,https://www.instagram.com/reel/C3cOphfynPw/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Trust
506,https://www.instagram.com/reel/DHoTHN3zNpE/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Trust
507,https://www.instagram.com/reel/DFF_Fz7TaBk/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Trust
508,https://www.instagram.com/reel/DB-yXGOxwsm/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Surprise
509,https://www.instagram.com/reel/DCUXkGTyqKb/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Joy
510,https://www.instagram.com/reel/Cij2OK1LiDG/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Surprise
511,https://www.instagram.com/p/CFKGsqVlylO/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,Trust
